Transaction_ID,Date,Amount (INR),Transaction_Type,Account_Type,GST_Number,Compliance_Status,Fraud_Flag,Risk_Score,Business_Category,City,State,Country,Notes
TXN00050,11-11-2024,130689.85,UPI,Corporate,2417204845Z3,GST Compliant,No,23,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00051,14-01-2024,76887.94,NEFT,Business,2420493172Z3,GST Compliant,No,25,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00052,29-08-2024,134533.02,IMPS,Corporate,2494608943Z8,GST Compliant,No,28,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00053,21-09-2024,117742.46,UPI,Corporate,2488789610Z8,Non-GST Compliant,Yes,75,Pharmaceuticals,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00054,11-12-2024,44707.52,IMPS,Corporate,2414729112Z3,GST Compliant,No,11,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00055,22-02-2024,169443.43,NEFT,Business,2444487568Z4,GST Compliant,No,9,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00056,05-12-2024,98393.16,UPI,Business,2437676510Z5,GST Compliant,No,22,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00057,01-04-2024,164508.98,UPI,Business,2435757377Z1,GST Compliant,No,18,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00058,20-09-2024,81208.45,IMPS,Corporate,2464172696Z8,GST Compliant,No,29,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00059,04-02-2024,196937.26,Cash Deposit,Corporate,2416784461Z7,GST Compliant,No,9,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00060,24-07-2024,154100.17,UPI,Corporate,2433222165Z3,GST Compliant,No,6,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00061,21-03-2024,193190.38,Cash Deposit,Business,2465704641Z2,GST Compliant,No,31,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00062,19-02-2024,102870.15,UPI,Corporate,2446518453Z5,GST Compliant,No,15,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00063,25-12-2024,94743.49,RTGS,Business,2483779578Z4,GST Compliant,No,8,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00064,02-01-2024,151093.21,Cheque Payment,Business,2442323943Z8,GST Compliant,No,10,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00065,23-02-2024,176059.45,IMPS,Corporate,2439053787Z4,GST Compliant,No,29,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00066,15-04-2024,192829.52,Cheque Payment,Business,2474063724Z6,GST Compliant,No,21,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00067,16-09-2024,64917.14,Cash Deposit,Business,2433288477Z2,GST Compliant,No,34,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00068,05-11-2024,159742.93,RTGS,Business,2453103993Z3,GST Compliant,No,39,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00069,09-07-2024,42137.01,Cheque Payment,Corporate,2441263388Z4,Non-GST Compliant,Yes,97,IT Services,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00070,05-08-2024,109119.41,RTGS,Business,2449545718Z7,GST Compliant,No,7,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00071,13-02-2024,35977.83,Cheque Payment,Corporate,2496553799Z3,GST Compliant,No,23,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00072,10-06-2024,69486.0,IMPS,Business,2499179938Z3,GST Compliant,No,26,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00073,20-07-2024,186272.36,UPI,Business,2489675679Z1,GST Compliant,No,9,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00074,26-09-2024,29226.68,UPI,Business,2485488701Z3,GST Compliant,No,25,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00075,16-12-2024,126483.86,UPI,Business,2462268111Z6,Non-GST Compliant,Yes,92,Retail,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00076,30-10-2024,118594.93,UPI,Corporate,2443978181Z7,GST Compliant,No,6,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00077,27-09-2024,24156.46,UPI,Corporate,2442509934Z5,GST Compliant,No,29,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00078,02-08-2024,65202.55,IMPS,Corporate,2477866744Z8,GST Compliant,No,17,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00079,08-09-2024,112600.67,Cash Deposit,Corporate,2466751169Z1,Non-GST Compliant,No,8,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00080,08-07-2024,37443.85,IMPS,Corporate,2491952094Z4,GST Compliant,No,23,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00081,22-10-2024,160126.73,UPI,Business,2471777838Z8,GST Compliant,No,27,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00082,31-07-2024,194431.58,IMPS,Business,2480963479Z3,GST Compliant,No,20,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00083,26-07-2024,42959.73,UPI,Corporate,2415512227Z5,Non-GST Compliant,Yes,96,Retail,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00084,24-08-2024,37390.52,IMPS,Business,2458267727Z8,GST Compliant,No,35,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00085,03-12-2024,90992.47,UPI,Corporate,2446336912Z3,GST Compliant,No,20,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00086,22-02-2024,149555.58,Cheque Payment,Business,2483846095Z5,GST Compliant,No,24,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00087,06-10-2024,56327.31,UPI,Corporate,2416403971Z4,GST Compliant,No,27,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00088,04-08-2024,3985.78,RTGS,Business,2465763628Z4,GST Compliant,No,33,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00089,08-09-2024,108248.71,RTGS,Business,2451944208Z7,GST Compliant,No,7,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00090,06-07-2024,191320.55,Cheque Payment,Business,2488319416Z3,GST Compliant,No,36,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00091,10-02-2024,78261.46,NEFT,Corporate,2426709881Z1,GST Compliant,No,16,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00092,05-06-2024,84032.71,Cheque Payment,Corporate,2442296079Z3,GST Compliant,No,39,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00093,15-01-2024,193780.65,IMPS,Corporate,2444608967Z2,GST Compliant,No,12,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00094,27-10-2024,138924.58,RTGS,Corporate,2479147466Z6,GST Compliant,No,34,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00095,05-03-2024,143837.19,Cheque Payment,Corporate,2494855233Z2,Non-GST Compliant,No,39,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00096,10-12-2024,112544.77,NEFT,Corporate,2492074178Z6,Non-GST Compliant,Yes,61,Textile,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00097,22-11-2024,194922.1,UPI,Corporate,2439253035Z8,GST Compliant,No,13,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00098,09-01-2024,137776.41,NEFT,Business,2469527132Z2,GST Compliant,No,23,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00099,09-12-2024,179007.6,UPI,Corporate,2448451963Z6,GST Compliant,No,17,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00100,08-05-2024,139878.78,Cheque Payment,Corporate,2491304645Z5,GST Compliant,No,38,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00101,15-05-2024,147025.81,RTGS,Business,2453879642Z4,GST Compliant,No,7,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00102,03-03-2024,58089.28,NEFT,Corporate,2499382784Z6,GST Compliant,No,25,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00103,18-05-2024,60702.7,NEFT,Business,2468435055Z2,Non-GST Compliant,No,32,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00104,21-03-2024,156599.1,UPI,Corporate,2456463131Z3,Non-GST Compliant,Yes,82,Retail,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00105,11-06-2024,59348.29,Cheque Payment,Corporate,2470454042Z6,GST Compliant,No,6,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00106,15-10-2024,112558.39,IMPS,Business,2432289519Z7,GST Compliant,No,30,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00107,17-09-2024,49877.97,RTGS,Business,2479072928Z5,GST Compliant,No,22,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00108,18-08-2024,163398.51,Cash Deposit,Business,2447168719Z8,GST Compliant,No,13,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00109,10-02-2024,22109.17,UPI,Business,2472967961Z7,GST Compliant,No,21,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00110,28-01-2024,165891.03,Cheque Payment,Corporate,2443403777Z6,GST Compliant,No,29,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00111,14-05-2024,120549.93,RTGS,Corporate,2415063955Z4,GST Compliant,No,32,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00112,19-07-2024,37390.04,RTGS,Business,2421759853Z7,GST Compliant,No,17,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00113,23-11-2024,108411.66,IMPS,Corporate,2423748774Z2,GST Compliant,No,28,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00114,24-09-2024,56506.94,NEFT,Corporate,2410103883Z5,GST Compliant,No,8,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00115,02-02-2024,64700.23,UPI,Corporate,2461148272Z6,GST Compliant,No,14,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00116,17-02-2024,70312.09,RTGS,Corporate,2417261769Z4,Non-GST Compliant,No,7,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00117,02-03-2024,12673.22,RTGS,Corporate,2434833688Z2,Non-GST Compliant,Yes,91,Retail,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00118,03-08-2024,197192.48,UPI,Corporate,2454215191Z8,GST Compliant,No,35,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00119,19-10-2024,6316.61,IMPS,Business,2443098816Z2,GST Compliant,No,5,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00120,08-04-2024,132502.75,Cheque Payment,Corporate,2412209128Z8,GST Compliant,No,14,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00121,20-06-2024,74251.82,NEFT,Business,2481575078Z3,Non-GST Compliant,Yes,69,Textile,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00122,25-12-2024,129205.6,NEFT,Business,2448477867Z4,GST Compliant,No,35,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00123,01-08-2024,71256.09,Cash Deposit,Corporate,2426651896Z2,GST Compliant,No,21,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00124,04-02-2024,134753.39,NEFT,Corporate,2478647192Z5,Non-GST Compliant,Yes,92,Pharmaceuticals,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00125,14-08-2024,145849.81,NEFT,Corporate,2448234415Z6,GST Compliant,No,10,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00126,10-04-2024,138113.62,UPI,Business,2472337106Z2,GST Compliant,No,20,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00127,10-05-2024,22801.26,Cash Deposit,Business,2495292727Z1,GST Compliant,No,18,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00128,13-09-2024,131382.08,Cash Deposit,Business,2496862052Z1,GST Compliant,No,22,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00129,05-01-2024,56004.71,IMPS,Business,2413125902Z7,GST Compliant,No,35,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00130,05-08-2024,5769.99,NEFT,Corporate,2471454189Z3,GST Compliant,No,33,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00131,11-09-2024,82971.99,RTGS,Business,2494054895Z6,GST Compliant,No,26,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00132,24-12-2024,86714.29,UPI,Corporate,2468539285Z4,GST Compliant,No,18,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00133,09-10-2024,93440.15,Cheque Payment,Corporate,2475331420Z2,GST Compliant,No,31,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00134,25-07-2024,140967.78,Cheque Payment,Business,2482875403Z5,GST Compliant,No,6,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00135,15-01-2024,61775.67,RTGS,Corporate,2486003893Z1,GST Compliant,No,25,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00136,11-12-2024,63062.95,Cash Deposit,Business,2488275476Z1,GST Compliant,No,25,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00137,11-02-2024,12119.85,Cash Deposit,Business,2440227830Z3,GST Compliant,No,29,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00138,27-06-2024,137367.37,NEFT,Corporate,2448688395Z6,Non-GST Compliant,Yes,67,Manufacturing,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00139,03-03-2024,113569.54,UPI,Business,2411036688Z3,GST Compliant,No,37,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00140,17-12-2024,69891.53,UPI,Corporate,2445311273Z2,GST Compliant,No,39,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00141,18-08-2024,141040.74,NEFT,Corporate,2410541830Z7,GST Compliant,No,37,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00142,28-08-2024,107476.18,NEFT,Business,2449559007Z1,GST Compliant,No,27,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00143,21-02-2024,93854.3,UPI,Corporate,2479008749Z2,Non-GST Compliant,Yes,72,Retail,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00144,05-04-2024,102269.8,Cash Deposit,Corporate,2499968556Z4,GST Compliant,No,39,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00145,09-08-2024,127273.26,RTGS,Business,2450531201Z8,GST Compliant,No,14,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00146,18-08-2024,132003.92,Cheque Payment,Corporate,2493432775Z6,GST Compliant,No,16,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00147,24-08-2024,57798.67,RTGS,Corporate,2489342440Z6,GST Compliant,No,19,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00148,22-05-2024,28157.27,Cash Deposit,Corporate,2420069048Z8,GST Compliant,No,11,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00149,19-06-2024,31335.27,IMPS,Business,2445451477Z6,GST Compliant,No,20,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00150,29-01-2024,127881.78,UPI,Corporate,2480069146Z4,GST Compliant,No,15,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00151,05-02-2024,174575.93,NEFT,Business,2433675697Z6,GST Compliant,No,8,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00152,13-01-2024,81905.16,IMPS,Business,2414755408Z8,GST Compliant,No,17,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00153,08-06-2024,33912.34,Cheque Payment,Business,2488641610Z8,GST Compliant,No,11,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00154,22-11-2024,151322.93,Cash Deposit,Business,2423986445Z7,GST Compliant,No,25,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00155,05-07-2024,166499.57,UPI,Corporate,2412254457Z7,Non-GST Compliant,No,23,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00156,30-08-2024,176117.68,IMPS,Business,2444684409Z8,GST Compliant,No,29,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00157,26-03-2024,121370.22,IMPS,Corporate,2486212564Z5,GST Compliant,No,30,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00158,10-10-2024,172147.1,Cash Deposit,Corporate,2433234254Z6,GST Compliant,No,33,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00159,06-03-2024,3092.84,NEFT,Business,2476787727Z3,Non-GST Compliant,Yes,89,Retail,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00160,18-06-2024,21456.09,RTGS,Corporate,2449722631Z4,GST Compliant,No,15,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00161,14-02-2024,18524.29,UPI,Business,2451065046Z2,GST Compliant,No,25,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00162,02-03-2024,142523.81,RTGS,Corporate,2458624891Z7,GST Compliant,No,22,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00163,13-05-2024,13925.66,Cash Deposit,Business,2444765279Z7,GST Compliant,No,19,Textile,Ahmedabad,Gujarat,India,No suspicious activity
TXN00164,10-10-2024,99277.91,IMPS,Corporate,2410646564Z3,GST Compliant,No,23,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00165,28-01-2024,94546.65,RTGS,Corporate,2426167648Z4,GST Compliant,No,31,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00166,17-04-2024,62147.6,Cheque Payment,Business,2415016925Z4,GST Compliant,No,16,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00167,13-02-2024,174082.33,RTGS,Business,2457759063Z8,GST Compliant,No,31,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00168,05-12-2024,34094.94,Cash Deposit,Corporate,2438169594Z8,GST Compliant,No,32,Retail,Ahmedabad,Gujarat,India,No suspicious activity
TXN00169,12-10-2024,70499.03,RTGS,Corporate,2467934680Z8,GST Compliant,No,22,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00170,26-11-2024,154836.56,NEFT,Business,2449569108Z1,Non-GST Compliant,Yes,95,Pharmaceuticals,Ahmedabad,Gujarat,India,High-risk transaction flagged
TXN00171,07-05-2024,6094.16,Cash Deposit,Corporate,2497884234Z5,GST Compliant,No,35,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00172,13-12-2024,134593.35,IMPS,Business,2440167746Z5,GST Compliant,No,15,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00173,18-08-2024,163281.38,RTGS,Business,2426349555Z8,GST Compliant,No,12,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00174,08-07-2024,186454.25,NEFT,Corporate,2410275265Z1,GST Compliant,No,22,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00175,12-08-2024,175260.57,Cash Deposit,Corporate,2426847683Z4,GST Compliant,No,14,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
TXN00176,09-10-2024,63883.63,Cash Deposit,Corporate,2429431655Z1,GST Compliant,No,30,IT Services,Ahmedabad,Gujarat,India,No suspicious activity
TXN00177,30-04-2024,117276.96,RTGS,Business,2450446075Z4,GST Compliant,No,34,Manufacturing,Ahmedabad,Gujarat,India,No suspicious activity
TXN00178,25-04-2024,15467.93,UPI,Business,2466774822Z2,GST Compliant,No,18,Pharmaceuticals,Ahmedabad,Gujarat,India,No suspicious activity
